date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016-10-13 15:00:00,3057.96,3061.55,3061.26,3056.69,156189.0,3.3,0.11,3060.08,3059.3,3058.03,94478.4,83516.1,91557.5
2016-10-13 14:30:00,3061.59,3061.89,3058.38,3057.52,79167.3,-3.21,-0.1,3059.3,3058.64,3057.83,75544.3,76121.8,86775.3
2016-10-13 14:15:00,3060.57,3064.88,3061.6,3059.96,85920.3,1.03,0.03,3059.47,3058.29,3057.62,71272.9,80267.2,85376.6
2016-10-13 14:00:00,3058.24,3061.48,3060.59,3057.79,73585.8,2.35,0.08,3059.01,3058.27,3057.27,68605.9,84819.0,84057.3
2016-10-13 13:45:00,3056.6,3058.82,3058.57,3054.91,77530.0,1.97,0.06,3059.06,3058.23,3056.92,72078.7,90238.8,83630.2
2016-10-13 13:30:00,3058.83,3059.2,3057.34,3057.02,61518.2,-1.49,-0.05,3058.52,3058.6,3056.82,72553.8,98313.4,82958.2
2016-10-13 13:15:00,3058.62,3060.34,3059.25,3058.41,57810.2,0.63,0.02,3057.99,3058.51,3056.71,76699.3,100357.0,83894.2
2016-10-13 11:30:00,3061.31,3061.43,3059.29,3058.39,72585.3,-2.02,-0.07,3057.11,3057.96,3056.68,89261.4,102233.0,85578.0
2016-10-13 11:15:00,3056.28,3060.9,3060.87,3055.61,90949.8,4.59,0.15,3057.53,3057.29,3056.66,101032.0,103346.0,87179.9
2016-10-13 11:00:00,3054.8,3056.47,3055.83,3052.64,79905.7,1.03,0.03,3057.39,3056.68,3056.36,108399.0,100842.0,89417.6
2016-10-13 10:45:00,3055.12,3057.93,3054.7,3054.59,82245.3,-0.42,-0.01,3058.69,3056.76,3056.45,124073.0,99598.8,95416.1
2016-10-13 10:30:00,3061.38,3061.38,3054.87,3054.67,120621.0,-6.51,-0.21,3059.04,3057.02,3057.0,124015.0,97428.8,99917.5
2016-10-13 10:15:00,3059.9,3063.21,3061.39,3059.53,131439.0,1.49,0.05,3058.82,3056.95,3057.39,115205.0,90486.0,99362.9
2016-10-13 10:00:00,3061.55,3062.13,3060.16,3058.64,127783.0,-1.39,-0.05,3057.05,3056.28,3057.26,105659.0,83295.6,96600.4
2016-10-13 09:45:00,3057.97,3063.49,3062.34,3055.85,158277.0,4.37,0.14,3055.98,3055.61,3057.24,93285.4,77021.7,94624.8
2016-10-12 14:45:00,3054.09,3056.99,3056.43,3053.49,81953.7,2.34,0.08,3054.83,3055.04,3056.91,75124.5,67603.0,90442.1
2016-10-12 14:30:00,3052.6,3053.95,3053.76,3050.02,76574.6,1.16,0.04,3055.0,3054.91,3056.85,70842.9,67431.4,90060.5
2016-10-12 14:15:00,3055.33,3055.33,3052.55,3049.0,83706.9,-2.78,-0.09,3055.09,3055.39,3056.88,65766.6,68922.5,89959.4
2016-10-12 14:00:00,3057.55,3057.8,3054.8,3053.88,65914.5,-2.75,-0.09,3055.51,3056.03,3057.1,60932.2,71014.2,88901.9
2016-10-12 13:45:00,3057.09,3058.76,3056.61,3056.13,67473.0,-0.48,-0.02,3055.25,3056.05,3057.34,60758.1,77993.2,89155.6
