date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016-10-17,3020.46,3068.81,3041.17,3014.62,9436819.0,36.47,1.21,3008.062,2932.475,3334.645,29766661.0,33617448.3,71143737.55
2016-09-30,3083.96,3105.68,3004.7,2969.13,27958324.0,-80.79,-2.62,2983.152,2982.276,3348.102,33562281.6,38041948.8,73496441.0
2016-08-31,2971.95,3140.44,3085.49,2931.96,39562184.0,106.15,3.56,2969.876,3026.346,3358.385,35544543.2,42311930.8,77615998.4
2016-07-29,2931.8,3069.05,2979.34,2922.52,40116592.0,49.73,1.7,2953.562,3056.053,3365.845,37801307.2,43808291.2,84697730.0
2016-06-30,2917.15,2945.94,2929.61,2807.6,31759386.0,12.99,0.45,2895.29,3063.397,3351.019,35804570.4,45159144.8,87187638.8
2016-05-31,2940.39,3004.42,2916.62,2780.76,28414922.0,-21.7,-0.74,2856.888,3091.035,3325.548,37468235.6,50702463.8,88517380.5
2016-04-29,2997.09,3097.16,2938.32,2905.05,37869632.0,-65.6,-2.18,2981.4,3165.746,3297.91,42521616.0,61054566.8,90366436.4
2016-03-31,2688.38,3028.32,3003.92,2668.76,50846004.0,315.94,11.75,3082.816,3299.636,3261.854,49079318.4,70138249.2,91066979.0
2016-02-29,2730.98,2933.96,2687.98,2638.96,30132908.0,-49.62,-1.81,3158.544,3460.418,3221.736,49815275.2,80549082.4,90853987.6
2016-01-29,3536.59,3538.69,2737.6,2638.3,40077712.0,-801.58,-22.65,3231.504,3635.786,3189.754,54513719.2,97741558.0,90557158.8
2015-12-31,3442.44,3684.57,3539.18,3399.28,53681824.0,93.78,2.72,3325.182,3736.816,3154.834,63936692.0,108670026.8,89718406.6
2015-11-30,3337.58,3678.27,3445.4,3302.18,70658144.0,62.84,1.86,3350.092,3713.928,3079.193,79587517.6,108950933.2,88622635.2
2015-10-30,3156.07,3457.52,3382.56,3133.13,54525788.0,329.78,10.8,3516.456,3690.424,3008.588,91197180.0,112920066.0,86886769.8
2015-09-30,3157.83,3256.74,3052.78,2983.54,53625128.0,-153.21,-4.78,3762.293,3675.636,2942.276,111282889.6,125587168.8,85741917.1
2015-08-31,3614.99,4006.34,3205.99,2850.71,87192576.0,-457.74,-12.49,4040.068,3638.642,2891.291,140969396.8,129216132.8,84271095.7
2015-07-31,4214.15,4317.05,3663.73,3373.54,131935952.0,-613.49,-14.34,4148.45,3560.06,2836.79,153403361.6,126332297.2,81303292.6
2015-06-30,4633.098,5178.191,4277.22,3847.88,128706456.0,-334.524,-7.25,4077.764,3430.074,2764.629,138314348.8,119678306.0,76412319.4
2015-05-29,4441.343,4986.503,4611.744,4099.042,154954336.0,170.089,3.83,3864.393,3224.072,2657.849,134642952.0,111995708.8,71855334.2
2015-04-30,3748.34,4572.391,4441.655,3742.213,202057664.0,693.756,18.51,3588.979,2983.054,2535.995,139891448.0,101158892.8,66490534.6
2015-03-31,3332.721,3835.567,3747.899,3198.37,149362400.0,437.596,13.22,3237.215,2743.721,2418.831,117462868.8,83372759.6,58326205.8
2015-02-27,3148.136,3324.546,3310.303,3049.111,56490888.0,99.94,3.11,2971.671,2572.853,2331.126,99261232.8,70766786.4,51886395.7
2015-01-30,3258.627,3406.786,3210.363,3095.066,110349472.0,-24.314,-0.75,2782.385,2444.458,2264.571,101042263.2,68294337.2,49816486.85
2014-12-31,2691.725,3239.357,3234.677,2665.686,181196816.0,551.842,20.57,2583.752,2326.753,2219.083,89348465.6,60853473.6,45446463.05
2014-11-28,2425.225,2683.18,2682.835,2401.75,89914768.0,262.657,10.85,2377.129,2208.915,2166.244,62426337.6,45896665.4,37135194.1
2014-10-31,2368.576,2423.596,2420.178,2279.836,58354220.0,56.308,2.38,2250.227,2143.94,2143.934,49282650.4,39326058.6,33802433.0
2014-09-30,2220.129,2365.491,2363.87,2217.685,65396040.0,146.67,6.62,2174.034,2113.52,2141.204,42272340.0,36274288.0,31797989.4
2014-08-29,2194.17,2248.939,2217.2,2180.597,51880484.0,15.638,0.71,2106.532,2099.183,2142.282,35546411.2,33146332.8,29864150.5
2014-07-31,2051.225,2202.126,2201.562,2033.004,46586176.0,153.235,7.48,2069.753,2091.625,2144.878,32358481.6,31714959.6,28392729.7
2014-06-30,2039.196,2087.322,2048.327,2010.53,24196332.0,9.115,0.45,2040.701,2088.935,2133.806,29366993.2,31822176.4,26686022.55
2014-05-30,2022.178,2061.06,2039.212,1991.055,23302668.0,12.854,0.63,2037.652,2093.94,2134.834,29369466.8,33279652.0,26091831.7
2014-04-30,2031.005,2146.67,2026.358,1997.64,31766396.0,-6.948,-0.34,2053.005,2089.399,2137.182,30276236.0,33006005.0,25643092.2
2014-03-31,2052.075,2079.551,2033.306,1974.382,35940836.0,-22.996,-1.12,2091.835,2084.684,2138.24,30746254.4,31338636.5,24736783.3
2014-02-28,2022.323,2177.978,2056.302,2014.381,31628734.0,23.219,1.14,2113.496,2111.413,2141.756,31071437.6,30039452.5,23614282.8
2014-01-30,2112.126,2113.11,2033.083,1984.824,24208700.0,-82.895,-3.92,2137.169,2123.574,2150.213,34277359.6,28373722.8,22670892.9
2013-12-31,2203.122,2260.871,2115.978,2068.543,27836514.0,-104.526,-4.71,2150.229,2143.928,2167.17,37189837.2,28278807.4,22456075.3
2013-11-29,2139.88,2234.387,2220.504,2078.988,34116488.0,78.89,3.68,2125.793,2168.889,2181.187,35735774.0,27321690.8,21881107.3
2013-10-31,2171.904,2242.984,2141.614,2093.197,37566752.0,-33.051,-1.52,2077.533,2185.381,2183.301,31931018.6,26581968.2,21220008.9
2013-09-30,2104.09,2270.268,2174.665,2078.455,47658344.0,76.283,3.63,2109.329,2198.132,2197.645,29007467.4,25070499.8,20273357.4
2013-08-30,2000.818,2198.848,2098.382,1997.058,38771088.0,104.583,5.25,2109.979,2178.678,2203.542,22470086.0,21549868.7,18413230.5
2013-07-31,1965.987,2092.868,1993.799,1946.366,20566198.0,14.593,0.74,2137.627,2175.727,2208.594,19367777.6,18904011.4,17051935.0
2013-06-28,2300.209,2313.425,1979.206,1849.653,15092711.0,-321.389,-13.97,2211.985,2184.964,2225.575,18907607.6,18280179.4,16844485.0
2013-05-31,2170.783,2334.335,2300.595,2161.14,22948996.0,122.683,5.63,2293.229,2191.796,2250.027,21232917.8,18134930.1,16690738.1
2013-04-26,2229.46,2253.421,2177.912,2165.784,14971437.0,-58.709,-2.62,2286.935,2172.1,2252.958,21133532.2,17189113.1,16138430.7
2013-03-29,2364.544,2369.649,2236.621,2228.813,23259546.0,-128.972,-5.45,2247.376,2176.852,2272.43,20629651.4,16968063.0,16290848.15
2013-02-28,2377.414,2444.804,2365.593,2289.887,18265348.0,-19.829,-0.83,2213.828,2190.413,2295.685,18440245.2,16633343.2,16113849.55
2013-01-31,2289.51,2391.821,2385.422,2234.947,26719262.0,116.294,5.12,2157.943,2193.485,2315.509,17652751.2,16440523.8,16014058.2
2012-12-31,1977.254,2269.512,2269.128,1949.457,22452068.0,289.011,14.6,2090.363,2181.222,2333.412,15036942.4,15858049.6,15570652.2
2012-11-30,2070.02,2123.327,1980.117,1959.334,12452033.0,-88.763,-4.29,2057.264,2197.158,2365.531,13244694.0,15476215.0,15602978.7
2012-10-31,2084.849,2138.027,2068.88,2053.092,12312515.0,-17.289,-0.83,2106.327,2228.407,2412.931,13306474.6,15276592.3,16450893.65
2012-09-28,2044.825,2145.003,2086.169,1999.484,14327878.0,38.647,1.89,2166.998,2241.461,2454.739,14826441.2,15199858.6,16713513.6
2012-08-31,2101.723,2176.795,2047.522,2032.537,13640218.0,-56.112,-2.67,2229.027,2266.185,2489.965,15228296.4,15408790.6,16861256.3
2012-07-31,2234.32,2244.832,2103.634,2100.252,13490826.0,-121.797,-5.47,2272.081,2308.258,2527.993,16679156.8,15246546.1,17239077.0
2012-06-29,2373.224,2388.087,2225.431,2188.716,12760936.0,-146.803,-6.19,2337.051,2333.817,2563.821,17707736.0,15087748.3,18331536.7
2012-05-31,2421.082,2453.731,2372.234,2309.072,19912348.0,-24.082,-1.0,2350.487,2368.008,2601.491,17246710.0,15613633.3,19178564.6
2012-04-27,2258.031,2415.749,2396.316,2251.393,16337154.0,133.528,5.9,2315.924,2400.957,2615.662,15573276.0,15594355.9,19205577.6
2012-03-30,2418.788,2476.216,2262.788,2242.345,20894520.0,-165.699,-6.82,2303.343,2437.533,2627.786,15589284.8,15587592.6,19593463.9
2012-02-29,2288.066,2478.375,2428.487,2263.342,18633722.0,135.877,5.93,2344.436,2485.601,2646.522,13813935.4,15283254.8,19502474.9
2012-01-31,2211.995,2324.493,2292.61,2132.626,10455806.0,93.193,4.24,2330.582,2533.904,2645.016,12467760.6,15729742.4,19183639.5
2011-12-30,2392.485,2423.559,2199.417,2134.017,11545178.0,-133.997,-5.74,2385.528,2597.454,2659.993,13980556.6,17625195.0,19495823.4
