date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016-10-17,3064.69,3068.81,3041.17,3033.75,1637332.62,-22.64,-0.74,3029.286,3052.171,3003.534,5244941.52,7015923.91,7602455.12
2016-10-14,3020.46,3066.1,3063.81,3014.62,7799486.0,59.11,1.97,3036.822,3045.724,2992.528,6540285.6,7531999.05,7794441.84
2016-09-30,3028.24,3028.24,3004.7,2969.13,5852049.5,-29.2,-0.96,3037.53,3037.277,2980.612,6444271.4,7673778.95,7703870.76
2016-09-23,3005.32,3054.44,3033.9,3005.32,6187709.0,31.05,1.03,3050.652,3038.089,2971.732,6906183.9,7885452.4,7755098.51
2016-09-14,3037.51,3040.95,3002.85,2995.42,4748130.5,-76.0,-2.47,3065.492,3040.129,2965.7,8095625.3,8357226.6,7788582.39
2016-09-09,3070.71,3105.68,3078.85,3053.19,8114053.0,11.5,0.38,3075.056,3038.653,2962.473,8786906.3,8943674.65,7862380.56
2016-09-02,3068.46,3088.7,3067.35,3050.49,7319415.0,-2.96,-0.1,3054.626,3024.016,2956.493,8523712.5,8951764.55,7931478.11
2016-08-26,3107.38,3112.74,3070.31,3041.51,8161612.0,-37.79,-1.22,3037.024,3002.71,2957.031,8903286.5,8978323.65,8120802.96
2016-08-19,3056.48,3140.44,3108.1,3053.87,12134916.0,57.43,1.88,3025.526,2984.19,2952.764,8864720.9,8963199.5,8161630.61
2016-08-12,2972.62,3051.05,3050.67,2959.05,8204535.5,73.97,2.48,3014.766,2966.096,2947.835,8618827.9,8167735.58,8066043.51
2016-08-05,2971.95,2991.68,2976.7,2931.96,6798084.0,-2.64,-0.09,3002.25,2954.897,2944.273,9100443.0,8188986.33,8281734.74
2016-07-29,3008.09,3057.42,2979.34,2939.23,9217285.0,-33.48,-1.11,2993.406,2939.332,2943.196,9379816.6,8056884.63,8470989.64
2016-07-22,3047.64,3058.32,3012.82,3007.46,7968784.0,-41.48,-1.36,2968.396,2923.946,2934.744,9053360.8,7733962.58,8460391.34
2016-07-15,2993.75,3069.05,3054.3,2984.42,10905451.0,66.21,2.22,2942.854,2905.375,2927.811,9061678.1,7624744.63,8694728.79
2016-07-08,2924.29,3024.11,2988.09,2922.52,10612611.0,55.61,1.9,2917.426,2891.27,2913.456,7716643.25,7219938.18,8702817.24
2016-07-01,2840.56,2944.99,2932.48,2840.28,8194952.0,78.19,2.74,2907.544,2886.293,2907.053,7277529.65,6781086.48,8634552.09
2016-06-24,2887.64,2919.3,2854.29,2807.6,7585006.0,-30.82,-1.07,2885.258,2888.969,2898.603,6733952.65,6911191.68,8612018.21
2016-06-17,2897.27,2911.16,2885.11,2811.78,8010370.5,-42.05,-1.44,2879.496,2911.352,2892.768,6414564.35,7263282.28,8701463.16
2016-06-08,2940.99,2945.94,2927.16,2908.37,4180276.75,-11.52,-0.39,2867.896,2921.337,2894.341,6187811.15,7360061.73,8769930.29
2016-06-03,2814.65,2945.52,2938.68,2794.66,8417043.0,117.63,4.17,2865.114,2929.574,2893.031,6723233.1,7964351.45,9103522.8
2016-05-27,2826.31,2848.07,2821.05,2780.76,5477067.0,-4.43,-0.16,2865.042,2933.649,2905.418,6284643.3,8374483.15,9206269.2
