DATE	OPEN	HIGH	LOW	CLOSE	EMA(6)	EMA(20)
04/01/1999	0.6165	0.6232	0.6155	0.622		
05/01/1999	0.6218	0.6255	0.621	0.6215		
06/01/1999	0.6217	0.6302	0.6193	0.6289		
07/01/1999	0.6286	0.6372	0.6277	0.6345		
08/01/1999	0.6347	0.6355	0.631	0.6347		
11/01/1999	0.6345	0.6416	0.6325	0.6393	0.62832	
12/01/1999	0.6396	0.644	0.6346	0.6362	0.63057	
13/01/1999	0.6358	0.6381	0.6282	0.6312	0.63075	
14/01/1999	0.631	0.637	0.6276	0.6295	0.63039	
15/01/1999	0.6307	0.636	0.6287	0.634	0.63142	
18/01/1999	0.6343	0.6373	0.6327	0.6346	0.63233	
19/01/1999	0.6344	0.6402	0.6321	0.6392	0.63429	
20/01/1999	0.6388	0.6417	0.6379	0.64	0.63592	
21/01/1999	0.6401	0.6459	0.6357	0.6405	0.63723	
22/01/1999	0.6402	0.6407	0.6316	0.6327	0.63594	
25/01/1999	0.6333	0.634	0.6297	0.6302	0.6343	
26/01/1999	0.631	0.6331	0.6283	0.6305	0.63321	
27/01/1999	0.6302	0.6326	0.6265	0.6285	0.63187	
28/01/1999	0.6292	0.6292	0.6232	0.627	0.63048	
29/01/1999	0.6277	0.6315	0.6265	0.6302	0.6304	0.63237
01/02/1999	0.6315	0.6371	0.6303	0.6359	0.63197	0.6327
02/02/1999	0.636	0.6408	0.635	0.6384	0.63381	0.63325
03/02/1999	0.638	0.6442	0.6367	0.642	0.63615	0.63408
04/02/1999	0.6417	0.65	0.6372	0.6477	0.63945	0.63538
05/02/1999	0.6478	0.654	0.6475	0.6509	0.64272	0.63686
08/02/1999	0.6518	0.654	0.6482	0.6496	0.64469	0.63807
09/02/1999	0.6489	0.6499	0.645	0.6457	0.64498	0.6388
10/02/1999	0.6459	0.6485	0.643	0.6467	0.64547	0.63955
11/02/1999	0.6466	0.6516	0.6445	0.6473	0.64599	0.64029
12/02/1999	0.6472	0.6478	0.6392	0.6467	0.64619	0.6409
15/02/1999	0.6472	0.6501	0.6449	0.645	0.64585	0.64129
16/02/1999	0.6451	0.6458	0.6335	0.6354	0.64287	0.64073
17/02/1999	0.6352	0.6374	0.6312	0.6357	0.64082	0.64025
18/02/1999	0.6356	0.638	0.6336	0.6365	0.63958	0.63989
19/02/1999	0.6364	0.6415	0.6347	0.6405	0.63985	0.63995
22/02/1999	0.6412	0.6414	0.6352	0.641	0.64018	0.64005
23/02/1999	0.6414	0.6417	0.6364	0.6405	0.64027	0.64009
24/02/1999	0.6407	0.6407	0.6297	0.6333	0.63828	0.63945
25/02/1999	0.6332	0.6334	0.6235	0.6252	0.63454	0.63809
26/02/1999	0.6247	0.625	0.6176	0.6187	0.63002	0.63624
01/03/1999	0.6189	0.622	0.6162	0.6203	0.62724	0.63472
02/03/1999	0.6204	0.624	0.618	0.6217	0.62566	0.63348
03/03/1999	0.6216	0.627	0.621	0.622	0.62461	0.63239
04/03/1999	0.6218	0.6277	0.6186	0.6267	0.62521	0.63185
05/03/1999	0.6262	0.6295	0.6247	0.6282	0.62606	0.6315
08/03/1999	0.6292	0.6323	0.6263	0.6314	0.62759	0.63149
09/03/1999	0.6315	0.637	0.63	0.6346	0.62959	0.63179
10/03/1999	0.6345	0.6387	0.6337	0.6367	0.63162	0.63226
11/03/1999	0.6373	0.6392	0.6327	0.6375	0.6333	0.63275
12/03/1999	0.6372	0.6372	0.6329	0.6363	0.63416	0.63309
15/03/1999	0.6353	0.6353	0.6277	0.6291	0.63271	0.63271
16/03/1999	0.6291	0.6292	0.624	0.6249	0.63048	0.63197
17/03/1999	0.6248	0.6286	0.6235	0.6277	0.62969	0.63156
