DATE	NTD/USD	JPY/USD	CNY/USD	KRW/USD	TAIEX	RANDOM
2006-01-02	32.818	0.008494	0.1239	0.001001	6462.06	7.3049317556
2006-01-03	32.645	0.008496	0.1239	0.001003	6591.77	16.2665007391
2006-01-04	32.34	0.008493	0.124	0.001008	6616.44	59.8490691636
2006-01-05	32.016	0.008526	0.124	0.001016	6709.87	52.9551047341
2006-01-06	32.198	0.008613	0.124	0.001023	6694.82	23.0883170255
2006-01-09	31.952	0.00874	0.124	0.001063	6742.39	36.4946777735
2006-01-10	32.021	0.008757	0.1241	0.001034	6707.4	89.3669714073
2006-01-11	32.07	0.008737	0.1241	0.001031	6735.89	5.8210617158
2006-01-12	31.88	0.00874	0.124	0.00103	6725.61	24.8713764217
2006-01-13	31.995	0.008768	0.124	0.001039	6682.35	21.7691876972
2006-01-16	31.927	0.008762	0.1241	0.001055	6724.18	9.8346485568
2006-01-17	31.999	0.008715	0.124	0.001033	6711.04	3.0815326883
2006-01-18	32.125	0.008682	0.124	0.001025	6498.92	19.9901046732
2006-01-19	32.14	0.008669	0.124	0.00102	6512.29	3.9730280904
2006-01-20	32.125	0.008678	0.124	0.001027	6486.63	5.4303085766
2006-01-23	31.983	0.008677	0.1242	0.001031	6381.97	70.2577501045
2006-01-24	31.98	0.008718	0.1241	0.001034	6451.94	0.7506483816
2006-01-25	31.97	0.008728	0.1241	0.001037	6532.18	3.7563822996
2006-02-03	32.094	0.008452	0.124	0.001043	6594.6	10.9579946824
2006-02-06	32.095	0.008412	0.1242	0.001078	6719.96	8.8789841274
2006-02-07	32.231	0.00842	0.1241	0.001053	6720.08	0.1644866993
2006-02-08	32.35	0.00844	0.1241	0.001049	6624.11	20.0367924676
2006-02-09	32.42	0.008464	0.1242	0.001043	6630.13	19.9346292832
2006-02-10	32.267	0.008435	0.1242	0.001048	6594.92	21.8869909022
2006-02-13	32.374	0.008488	0.1244	0.00104	6562.29	11.6965572117
2006-02-14	32.3	0.008485	0.1243	0.001037	6612.97	11.543994276
2006-02-15	32.352	0.008515	0.1243	0.001043	6598.49	31.2879132171
2006-02-16	32.401	0.008504	0.1242	0.00104	6683.93	0.5942183396
2006-02-17	32.39	0.008481	0.1243	0.001039	6673.75	50.1258660779
2006-02-20	32.4	0.008472	0.1244	0.001085	6686.55	5.3064414171
