code,time,class,lowpoint,percentage_rise,second_exist,gap_time,percentage_second_burst,max_retracement
12,20140423,2,11.46,0.22,1,2,0.32,0.04
20,20150320,2,8.83,0.68,1,27,0.65,0.1
23,20141215,2,12.53,0.33,1,9,1.4,0.21
32,20141118,2,9.59,0.4,1,72,1.35,0.22
33,20150410,2,5.24,0.98,0,,0,0
46,20150204,2,11.34,0.33,1,29,0.44,0.2
50,20150129,2,20.04,0.14,1,26,0.63,0.52
69,20150323,2,8.6,0.22,1,38,0.4,0.12
70,20150413,2,12.08,1.15,1,16,0.42,0.21
78,20150331,2,12.42,1,1,20,0.45,0.25
90,20141107,2,9.05,0.33,1,31,1.94,0.09
156,20121231,4,9.91,0.9,1,106,0.77,0.24
408,20141222,2,6.5,0.77,1,14,2.18,0.14
410,20150417,2,20.53,0.72,1,6,0.23,0.19
413,20150128,2,8.34,0.1,0, ,0,0
420,20150603,4,9.45,0.39,0,,0,0
503,20150430,2,50.63,0.09,0,,0,0
504,20150129,2,7.49,0.34,1,5,1.69,0.1
514,20150325,2,7.79,0.36,1,34,0.62,0.13
530,20150605,4,21.45,0.11,0,,0,0
540,20150217,2,6.84,0.12,1,14,0.93,0.1
544,20150213,2,13.46,0.33,1,45,0.67,0.11
546,20131209,1,6.55,0.15,1,163,0.32,0.28
555,20150511,2,81.46,0.33,1,4,0.15,0.11
584,20150507,1,7.54,3.73,0,,0,0
586,20150202,3,11.24,0.24,1,22,0.19,0.1
587,20150427,2,13.05,0.47,1,1,1.04,0.04
591,20150417,3,15.73,0.77,1,14,0.32,0.26
593,20150420,2,9.25,0.3,1,12,0.6,0.17
605,20150422,2,18.68,0.31,1,23,0.78,0.14
609,20150129,2,14.51,0.12,1,21,0.55,0.22
615,20150316,2,10.73,0.3,1,10,0.37,0.1
616,20150417,2,5.23,1.74,1,25,0.21,0.21
625,20150423,2,22.07,0.21,0,,0,0
662,20150105,2,6.91,0.44,1,15,2.71,0.19
663,20150414,2,14.75,0.33,1,15,0.48,0.16
690,20150603,4,12.12,0.5,0,,0,0
692,20150515,2,5.24,1.77,0,,0,0
693,20150402,2,21.63,0.31,1,40,0.27,0.17
711,20140821,2,7.12,0.61,1,56,0.49,0.05
718,20150422,2,8.31,0.17,1,17,0.87,0.14
719,20150601,2,19.88,0.75,0,,0,0
721,20150407,2,6.94,0.46,1,26,0.66,0.19
732,20150122,2,17.47,0.4,1,31,0.53,0.19
739,20150427,2,11.9,0.05,0,,0,0
793,20130228,2,7.18,0.23,1,50,0.83,0.16
811,20150107,2,13.2,0.13,1,77,0.75,0.22
828,20150401,2,8.77,0.48,1,23,0.76,0.09
835,20141128,1,6.94,0.77,1,59,1.03,0.27
860,20150422,2,24.86,0.15,1,33,0.08,0.19
875,20150605,4,16.52,0.21,0,,0,0
887,20150410,2,22.81,0.17,1,18,0.56,0.15
899,20150403,2,8.68,0.38,1,18,0.64,0.11
902,20130308,1,7.94,0.33,0,,0,0
938,20150526,2,31.94,3.36,0,,0,0
958,20150317,2,16.7,0.21,1,6,1.22,0.09
967,20150331,2,13.06,0.93,1,26,0.34,0.15
969,20150420,2,10.33,0.5,1,19,0.36,0.17
971,20150408,2,10.29,2.14,1,10,0.44,0.21
976,20150216,2,4.16,1.63,1,41,0.42,0.11
977,20150119,2,45.3,0.22,1,11,0.29,0.11
989,20150525,2,22.22,1.17,0,,0,0
2011,20150421,2,15.99,0.21,1,29,0.27,0.16
2034,20150330,2,20.68,0.71,1,26,0.27,0.13
2036,20150525,2,9.44,2.04,1,96,0.28,0.58
2037,20150428,2,21.48,0.6,1,11,0.53,0.14
2044,20150326,3,8.84,2.82,1,14,0.93,0.1
