date,cash,daily_pnl,holding_pnl,margin,market_value,realized_pnl,total_value,transaction_cost
2017-01-03,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0
2017-01-04,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0
2017-01-05,987573.486,809.486,825.0,12411.0,-309450.0,0.0,1000809.486,15.514
2017-01-06,1004619.205,3809.719,0.0,0.0,0.0,3825.0,1004619.205,15.281
2017-01-09,1004619.205,0.0,0.0,0.0,0.0,0.0,1004619.205,0.0
2017-01-10,992225.732,59.528,75.0,12378.0,309525.0,0.0,1004678.732,15.472
2017-01-11,992297.732,1950.0,1950.0,12381.0,311475.0,0.0,1006628.732,0.0
2017-01-12,994169.732,-1500.0,-1500.0,12459.0,309975.0,0.0,1005128.732,0.0
2017-01-13,992729.732,-225.0,-225.0,12399.0,309750.0,0.0,1004903.732,0.0
2017-01-16,992513.732,-675.0,-675.0,12390.0,309075.0,0.0,1004228.732,0.0
2017-01-17,991865.732,1200.0,1200.0,12363.0,310275.0,0.0,1005428.732,0.0
2017-01-18,993017.732,1275.0,1275.0,12411.0,311550.0,0.0,1006703.732,0.0
2017-01-19,994241.732,-2025.0,-2025.0,12462.0,309525.0,0.0,1004678.732,0.0
2017-01-20,992297.732,-1725.0,-1725.0,12381.0,307800.0,0.0,1002953.732,0.0
2017-01-23,990641.732,825.0,825.0,12312.0,308625.0,0.0,1003778.732,0.0
2017-01-24,991433.732,750.0,750.0,12345.0,309375.0,0.0,1004528.732,0.0
2017-01-25,992153.732,-1950.0,-1950.0,12375.0,307425.0,0.0,1002578.732,0.0
2017-01-26,990281.732,-4275.0,-4275.0,12297.0,303150.0,0.0,998303.732,0.0
2017-02-03,1002263.376,3959.644,0.0,0.0,0.0,3975.0,1002263.376,15.356
2017-02-06,1002263.376,0.0,0.0,0.0,0.0,0.0,1002263.376,0.0
2017-02-07,1002263.376,0.0,0.0,0.0,0.0,0.0,1002263.376,0.0
2017-02-08,1002263.376,0.0,0.0,0.0,0.0,0.0,1002263.376,0.0
2017-02-09,989737.739,-990.638,-975.0,12510.0,-313725.0,0.0,1001272.739,15.638
2017-02-10,988723.739,1500.0,1500.0,12549.0,-312225.0,0.0,1002772.739,0.0
2017-02-13,997806.88,-4965.859,0.0,0.0,0.0,-4950.0,997806.88,15.859
2017-02-14,985092.006,809.126,825.0,12699.0,-316650.0,0.0,998616.006,15.874
2017-02-15,998750.181,134.175,0.0,0.0,0.0,150.0,998750.181,15.825
2017-02-16,986056.334,59.152,75.0,12678.0,-316875.0,0.0,998809.334,15.848
2017-02-17,986134.334,-525.0,-525.0,12675.0,-317400.0,0.0,998284.334,0.0
2017-02-20,985588.334,1275.0,1275.0,12696.0,-316125.0,0.0,999559.334,0.0
2017-02-21,986914.334,-825.0,-825.0,12645.0,-316950.0,0.0,998734.334,0.0
2017-02-22,986056.334,225.0,225.0,12678.0,-316725.0,0.0,998959.334,0.0
2017-02-23,986290.334,-450.0,-450.0,12669.0,-317175.0,0.0,998509.334,0.0
2017-02-24,985822.334,-2100.0,-2100.0,12687.0,-319275.0,0.0,996409.334,0.0
