date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2017-01-03,1000000.0,0.0,1.0,1000000.0,1.0,1000000
2017-01-04,1000000.0,0.0,1.0,1000000.0,1.0,1000000
2017-01-05,987573.486,-309450.0,1.0,1000809.486,1.000809,1000000
2017-01-06,1004619.205,0.0,1.001,1004619.205,1.004619,1000000
2017-01-09,1004619.205,0.0,1.005,1004619.205,1.004619,1000000
2017-01-10,992225.732,309525.0,1.005,1004678.732,1.004679,1000000
2017-01-11,992297.732,311475.0,1.005,1006628.732,1.006629,1000000
2017-01-12,994169.732,309975.0,1.007,1005128.732,1.005129,1000000
2017-01-13,992729.732,309750.0,1.005,1004903.732,1.004904,1000000
2017-01-16,992513.732,309075.0,1.005,1004228.732,1.004229,1000000
2017-01-17,991865.732,310275.0,1.004,1005428.732,1.005429,1000000
2017-01-18,993017.732,311550.0,1.005,1006703.732,1.006704,1000000
2017-01-19,994241.732,309525.0,1.007,1004678.732,1.004679,1000000
2017-01-20,992297.732,307800.0,1.005,1002953.732,1.002954,1000000
2017-01-23,990641.732,308625.0,1.003,1003778.732,1.003779,1000000
2017-01-24,991433.732,309375.0,1.004,1004528.732,1.004529,1000000
2017-01-25,992153.732,307425.0,1.005,1002578.732,1.002579,1000000
2017-01-26,990281.732,303150.0,1.003,998303.732,0.998304,1000000
2017-02-03,1002263.376,0.0,0.998,1002263.376,1.002263,1000000
2017-02-06,1002263.376,0.0,1.002,1002263.376,1.002263,1000000
2017-02-07,1002263.376,0.0,1.002,1002263.376,1.002263,1000000
2017-02-08,1002263.376,0.0,1.002,1002263.376,1.002263,1000000
2017-02-09,989737.739,-313725.0,1.002,1001272.739,1.001273,1000000
2017-02-10,988723.739,-312225.0,1.001,1002772.739,1.002773,1000000
2017-02-13,997806.88,0.0,1.003,997806.88,0.997807,1000000
2017-02-14,985092.006,-316650.0,0.998,998616.006,0.998616,1000000
2017-02-15,998750.181,0.0,0.999,998750.181,0.99875,1000000
2017-02-16,986056.334,-316875.0,0.999,998809.334,0.998809,1000000
2017-02-17,986134.334,-317400.0,0.999,998284.334,0.998284,1000000
2017-02-20,985588.334,-316125.0,0.998,999559.334,0.999559,1000000
2017-02-21,986914.334,-316950.0,1.0,998734.334,0.998734,1000000
2017-02-22,986056.334,-316725.0,0.999,998959.334,0.998959,1000000
2017-02-23,986290.334,-317175.0,0.999,998509.334,0.998509,1000000
2017-02-24,985822.334,-319275.0,0.999,996409.334,0.996409,1000000
2017-02-27,983638.334,-323475.0,0.996,992209.334,0.992209,1000000
2017-02-28,979270.334,-323550.0,0.992,992134.334,0.992134,1000000
2017-03-01,994743.288,0.0,0.992,994743.288,0.994743,1000000
2017-03-02,981842.181,-321750.0,0.995,995102.181,0.995102,1000000
2017-03-03,1004911.585,0.0,0.995,1004911.585,1.004912,1000000
2017-03-06,1004911.585,0.0,1.005,1004911.585,1.004912,1000000
2017-03-07,1004911.585,0.0,1.005,1004911.585,1.004912,1000000
2017-03-08,1004911.585,0.0,1.005,1004911.585,1.004912,1000000
2017-03-09,1004911.585,0.0,1.005,1004911.585,1.004912,1000000
2017-03-10,1004911.585,0.0,1.005,1004911.585,1.004912,1000000
2017-03-13,1004911.585,0.0,1.005,1004911.585,1.004912,1000000
2017-03-14,992764.42,304125.0,1.005,1005721.42,1.005721,1000000
2017-03-15,1005331.232,0.0,1.006,1005331.232,1.005331,1000000
2017-03-16,1005331.232,0.0,1.005,1005331.232,1.005331,1000000
2017-03-17,1005331.232,0.0,1.005,1005331.232,1.005331,1000000
2017-03-20,1005331.232,0.0,1.005,1005331.232,1.005331,1000000
2017-03-21,992889.7,310725.0,1.005,1005390.7,1.005391,1000000
2017-03-22,992961.7,312675.0,1.005,1007340.7,1.007341,1000000
2017-03-23,994833.7,312225.0,1.007,1006890.7,1.006891,1000000
2017-03-24,994401.7,312225.0,1.007,1006890.7,1.006891,1000000
2017-03-27,1009649.95,0.0,1.007,1009649.95,1.00965,1000000
2017-03-28,1009649.95,0.0,1.01,1009649.95,1.00965,1000000
2017-03-29,1009649.95,0.0,1.01,1009649.95,1.00965,1000000
2017-03-30,997019.181,-315150.0,1.01,1009859.181,1.009859,1000000
2017-03-31,997253.181,-314475.0,1.01,1010534.181,1.010534,1000000
2017-04-05,997955.181,-315675.0,1.011,1009334.181,1.009334,1000000
2017-04-06,996707.181,-315300.0,1.009,1009709.181,1.009709,1000000
2017-04-07,997097.181,-318300.0,1.01,1006709.181,1.006709,1000000
2017-04-10,1013443.604,0.0,1.007,1013443.604,1.013444,1000000
2017-04-11,1013443.604,0.0,1.013,1013443.604,1.013444,1000000
2017-04-12,1013443.604,0.0,1.013,1013443.604,1.013444,1000000
2017-04-13,1013443.604,0.0,1.013,1013443.604,1.013444,1000000
2017-04-14,1013443.604,0.0,1.013,1013443.604,1.013444,1000000
2017-04-17,1013443.604,0.0,1.013,1013443.604,1.013444,1000000
2017-04-18,1013443.604,0.0,1.013,1013443.604,1.013444,1000000
2017-04-19,1013443.604,0.0,1.013,1013443.604,1.013444,1000000
2017-04-20,1013443.604,0.0,1.013,1013443.604,1.013444,1000000
2017-04-21,1013443.604,0.0,1.013,1013443.604,1.013444,1000000
2017-04-24,1013443.604,0.0,1.013,1013443.604,1.013444,1000000
2017-04-25,1013443.604,0.0,1.013,1013443.604,1.013444,1000000
2017-04-26,1013443.604,0.0,1.013,1013443.604,1.013444,1000000
2017-04-27,1013443.604,0.0,1.013,1013443.604,1.013444,1000000
2017-04-28,1013443.604,0.0,1.013,1013443.604,1.013444,1000000
2017-05-02,1013443.604,0.0,1.013,1013443.604,1.013444,1000000
2017-05-03,1013443.604,0.0,1.013,1013443.604,1.013444,1000000
2017-05-04,1013443.604,0.0,1.013,1013443.604,1.013444,1000000
2017-05-05,1013443.604,0.0,1.013,1013443.604,1.013444,1000000
2017-05-08,1013443.604,0.0,1.013,1013443.604,1.013444,1000000
